Epoch: [2 | 50] LR: 0.001000
epoch = 1, loss = 0.977882981300354, top5_accuracy = 90.625, top1_accuracy = 71.875
epoch = 62, loss = 0.8295744426788823, top5_accuracy = 94.45564516129032, top1_accuracy = 79.9899193548387
epoch = 63, loss = 0.8320454245521909, top5_accuracy = 94.5436507936508, top1_accuracy = 79.76190476190476
epoch = 64, loss = 0.8291097935289145, top5_accuracy = 94.580078125, top1_accuracy = 79.8828125
epoch = 65, loss = 0.8322659125694862, top5_accuracy = 94.51923076923077, top1_accuracy = 79.8076923076923
epoch = 66, loss = 0.8325643169157433, top5_accuracy = 94.60227272727273, top1_accuracy = 79.64015151515152
epoch = 67, loss = 0.836600179992505, top5_accuracy = 94.44962686567165, top1_accuracy = 79.61753731343283
epoch = 68, loss = 0.8334132599480012, top5_accuracy = 94.48529411764706, top1_accuracy = 79.73345588235294
epoch = 69, loss = 0.8322451494742131, top5_accuracy = 94.47463768115942, top1_accuracy = 79.71014492753623
epoch = 70, loss = 0.8312127760478428, top5_accuracy = 94.55357142857143, top1_accuracy = 79.77678571428571
epoch = 71, loss = 0.835042632801432, top5_accuracy = 94.45422535211267, top1_accuracy = 79.70950704225352
epoch = 72, loss = 0.8368851426574919, top5_accuracy = 94.40104166666667, top1_accuracy = 79.77430555555556
epoch = 73, loss = 0.8326929872983122, top5_accuracy = 94.4777397260274, top1_accuracy = 79.88013698630137
epoch = 74, loss = 0.8295374971789282, top5_accuracy = 94.42567567567568, top1_accuracy = 80.02533783783784
epoch = 75, loss = 0.8273085641860962, top5_accuracy = 94.5, top1_accuracy = 80.08333333333333
epoch = 76, loss = 0.8237518613275728, top5_accuracy = 94.57236842105263, top1_accuracy = 80.05756578947368
epoch = 77, loss = 0.8257721662521362, top5_accuracy = 94.60227272727273, top1_accuracy = 79.9512987012987
epoch = 78, loss = 0.8245598169473501, top5_accuracy = 94.63141025641026, top1_accuracy = 79.96794871794872
epoch = 79, loss = 0.8248140547848954, top5_accuracy = 94.65981012658227, top1_accuracy = 80.0632911392405
epoch = 80, loss = 0.8297355107963085, top5_accuracy = 94.5703125, top1_accuracy = 79.921875
epoch = 81, loss = 0.8287207793306421, top5_accuracy = 94.52160493827161, top1_accuracy = 79.8996913580247
epoch = 82, loss = 0.8260407055296549, top5_accuracy = 94.58841463414635, top1_accuracy = 79.9923780487805
epoch = 83, loss = 0.8219292163848877, top5_accuracy = 94.61596385542168, top1_accuracy = 80.12048192771084
epoch = 84, loss = 0.8205475814285732, top5_accuracy = 94.60565476190476, top1_accuracy = 80.17113095238095
epoch = 85, loss = 0.8168109578244827, top5_accuracy = 94.66911764705883, top1_accuracy = 80.36764705882354
epoch = 86, loss = 0.8133212917072828, top5_accuracy = 94.7311046511628, top1_accuracy = 80.45058139534883
epoch = 87, loss = 0.8147583597007839, top5_accuracy = 94.75574712643679, top1_accuracy = 80.38793103448276
epoch = 88, loss = 0.8144436316056685, top5_accuracy = 94.70880681818181, top1_accuracy = 80.43323863636364
epoch = 89, loss = 0.8142829711517591, top5_accuracy = 94.69803370786516, top1_accuracy = 80.47752808988764
epoch = 90, loss = 0.8104298131333457, top5_accuracy = 94.75694444444444, top1_accuracy = 80.59027777777777
epoch = 91, loss = 0.8107651684965406, top5_accuracy = 94.71153846153847, top1_accuracy = 80.66620879120879
epoch = 92, loss = 0.8112415843035864, top5_accuracy = 94.70108695652173, top1_accuracy = 80.6725543478261
epoch = 93, loss = 0.8105648445185795, top5_accuracy = 94.72446236559139, top1_accuracy = 80.74596774193549
epoch = 94, loss = 0.8078495438428636, top5_accuracy = 94.74734042553192, top1_accuracy = 80.81781914893617
epoch = 95, loss = 0.8086597659085927, top5_accuracy = 94.76973684210526, top1_accuracy = 80.82236842105263
epoch = 96, loss = 0.8099511119847497, top5_accuracy = 94.79166666666667, top1_accuracy = 80.76171875
epoch = 97, loss = 0.8069913494832737, top5_accuracy = 94.84536082474227, top1_accuracy = 80.79896907216495
epoch = 98, loss = 0.8051699281347041, top5_accuracy = 94.86607142857143, top1_accuracy = 80.86734693877551
epoch = 99, loss = 0.8049423607310864, top5_accuracy = 94.85479797979798, top1_accuracy = 80.90277777777777
epoch = 100, loss = 0.8053893020749092, top5_accuracy = 94.84375, top1_accuracy = 80.90625
epoch = 101, loss = 0.8042871406172761, top5_accuracy = 94.89480198019803, top1_accuracy = 80.94059405940594
epoch = 102, loss = 0.802359993259112, top5_accuracy = 94.94485294117646, top1_accuracy = 81.00490196078431
epoch = 103, loss = 0.8041991565412688, top5_accuracy = 94.9635922330097, top1_accuracy = 80.85558252427184
epoch = 104, loss = 0.803695316784657, top5_accuracy = 94.95192307692308, top1_accuracy = 80.94951923076923
epoch = 105, loss = 0.8032276218845731, top5_accuracy = 94.9702380952381, top1_accuracy = 81.01190476190476
epoch = 106, loss = 0.7996101140413644, top5_accuracy = 94.95872641509433, top1_accuracy = 81.13207547169812
epoch = 107, loss = 0.7990297187711591, top5_accuracy = 94.94742990654206, top1_accuracy = 81.16238317757009
epoch = 108, loss = 0.8018608454752851, top5_accuracy = 94.9363425925926, top1_accuracy = 81.04745370370371
epoch = 109, loss = 0.801145086321262, top5_accuracy = 94.95412844036697, top1_accuracy = 81.02064220183486
epoch = 110, loss = 0.800984069163149, top5_accuracy = 94.94318181818181, top1_accuracy = 81.05113636363636
epoch = 111, loss = 0.8006385180864248, top5_accuracy = 94.96058558558559, top1_accuracy = 81.02477477477477
epoch = 112, loss = 0.8039550805198294, top5_accuracy = 94.94977678571429, top1_accuracy = 80.97098214285714
epoch = 113, loss = 0.8055619520951162, top5_accuracy = 94.91150442477876, top1_accuracy = 80.97345132743362
epoch = 114, loss = 0.8045661797126135, top5_accuracy = 94.92872807017544, top1_accuracy = 81.03070175438596
epoch = 115, loss = 0.8046693415745445, top5_accuracy = 94.8913043478261, top1_accuracy = 81.05978260869566
epoch = 116, loss = 0.8016449043463016, top5_accuracy = 94.9353448275862, top1_accuracy = 81.08836206896552
epoch = 117, loss = 0.8028969479422284, top5_accuracy = 94.89850427350427, top1_accuracy = 81.11645299145299
epoch = 118, loss = 0.8034020167286113, top5_accuracy = 94.88877118644068, top1_accuracy = 81.01165254237289
epoch = 119, loss = 0.8053358352484823, top5_accuracy = 94.87920168067227, top1_accuracy = 80.96113445378151
epoch = 120, loss = 0.809310007095337, top5_accuracy = 94.79166666666667, top1_accuracy = 80.859375
epoch = 121, loss = 0.8106027082963423, top5_accuracy = 94.78305785123968, top1_accuracy = 80.83677685950413
epoch = 122, loss = 0.8102304217268209, top5_accuracy = 94.80020491803279, top1_accuracy = 80.84016393442623
epoch = 123, loss = 0.8101158239007965, top5_accuracy = 94.84247967479675, top1_accuracy = 80.84349593495935
epoch = 124, loss = 0.8084200250525628, top5_accuracy = 94.85887096774194, top1_accuracy = 80.89717741935483
epoch = 125, loss = 0.8086392860412598, top5_accuracy = 94.875, top1_accuracy = 80.9
epoch = 126, loss = 0.807586533682687, top5_accuracy = 94.91567460317461, top1_accuracy = 80.92757936507937
epoch = 127, loss = 0.8095186488834891, top5_accuracy = 94.85728346456693, top1_accuracy = 80.83169291338582
epoch = 128, loss = 0.8103394322097301, top5_accuracy = 94.82421875, top1_accuracy = 80.810546875
