
Epoch: [1 | 50] LR: 0.001000
epoch = 1, loss = 5.442826271057129, top5_accuracy = 6.25, top1_accuracy = 3.125
epoch = 63, loss = 5.1387955953204445, top5_accuracy = 13.045634920634921, top1_accuracy = 7.986111111111111
epoch = 64, loss = 5.132327809929848, top5_accuracy = 13.134765625, top1_accuracy = 8.056640625
epoch = 65, loss = 5.1276004057664135, top5_accuracy = 13.125, top1_accuracy = 8.125
epoch = 66, loss = 5.125011761983235, top5_accuracy = 13.162878787878787, top1_accuracy = 8.143939393939394
epoch = 67, loss = 5.119573009547903, top5_accuracy = 13.386194029850746, top1_accuracy = 8.162313432835822
epoch = 68, loss = 5.114100869964151, top5_accuracy = 13.602941176470589, top1_accuracy = 8.180147058823529
epoch = 69, loss = 5.112645273623259, top5_accuracy = 13.677536231884059, top1_accuracy = 8.197463768115941
epoch = 70, loss = 5.108657707486834, top5_accuracy = 13.794642857142858, top1_accuracy = 8.214285714285714
epoch = 71, loss = 5.10546887760431, top5_accuracy = 13.908450704225352, top1_accuracy = 8.230633802816902
epoch = 72, loss = 5.0998751521110535, top5_accuracy = 13.932291666666666, top1_accuracy = 8.246527777777779
epoch = 73, loss = 5.095415343977001, top5_accuracy = 14.04109589041096, top1_accuracy = 8.261986301369863
epoch = 74, loss = 5.0905584258002206, top5_accuracy = 14.18918918918919, top1_accuracy = 8.319256756756756
epoch = 75, loss = 5.091700547536214, top5_accuracy = 14.166666666666666, top1_accuracy = 8.333333333333334
epoch = 76, loss = 5.086888802678962, top5_accuracy = 14.391447368421053, top1_accuracy = 8.34703947368421
epoch = 77, loss = 5.083372927331305, top5_accuracy = 14.448051948051948, top1_accuracy = 8.400974025974026
epoch = 78, loss = 5.080504282926902, top5_accuracy = 14.54326923076923, top1_accuracy = 8.413461538461538
epoch = 79, loss = 5.080123080482966, top5_accuracy = 14.636075949367088, top1_accuracy = 8.425632911392405
epoch = 80, loss = 5.076881206035614, top5_accuracy = 14.6484375, top1_accuracy = 8.4375
epoch = 81, loss = 5.073256062872616, top5_accuracy = 14.776234567901234, top1_accuracy = 8.449074074074074
epoch = 82, loss = 5.069964251867154, top5_accuracy = 14.824695121951219, top1_accuracy = 8.498475609756097
epoch = 83, loss = 5.065420558653682, top5_accuracy = 14.947289156626505, top1_accuracy = 8.509036144578314
epoch = 84, loss = 5.062163602738154, top5_accuracy = 14.955357142857142, top1_accuracy = 8.556547619047619
epoch = 85, loss = 5.059679956997142, top5_accuracy = 15.073529411764707, top1_accuracy = 8.566176470588236
epoch = 86, loss = 5.056071453316267, top5_accuracy = 15.152616279069768, top1_accuracy = 8.575581395348838
epoch = 87, loss = 5.0530681884151765, top5_accuracy = 15.193965517241379, top1_accuracy = 8.584770114942529
epoch = 88, loss = 5.049793416803533, top5_accuracy = 15.234375, top1_accuracy = 8.59375
epoch = 89, loss = 5.049274964279004, top5_accuracy = 15.273876404494382, top1_accuracy = 8.60252808988764
epoch = 90, loss = 5.0483115567101375, top5_accuracy = 15.3125, top1_accuracy = 8.61111111111111
epoch = 91, loss = 5.043219754984091, top5_accuracy = 15.453296703296703, top1_accuracy = 8.653846153846153
epoch = 92, loss = 5.040250700453053, top5_accuracy = 15.48913043478261, top1_accuracy = 8.661684782608695
epoch = 93, loss = 5.037226835886638, top5_accuracy = 15.591397849462366, top1_accuracy = 8.669354838709678
epoch = 94, loss = 5.0347987185133265, top5_accuracy = 15.658244680851064, top1_accuracy = 8.67686170212766
epoch = 95, loss = 5.0319035429703565, top5_accuracy = 15.723684210526315, top1_accuracy = 8.68421052631579
epoch = 96, loss = 5.0291987011830015, top5_accuracy = 15.8203125, top1_accuracy = 8.69140625
epoch = 97, loss = 5.0252293950503635, top5_accuracy = 15.850515463917526, top1_accuracy = 8.730670103092784
epoch = 98, loss = 5.020444183933492, top5_accuracy = 16.007653061224488, top1_accuracy = 8.769132653061224
epoch = 99, loss = 5.018024733572295, top5_accuracy = 16.098484848484848, top1_accuracy = 8.775252525252526
epoch = 100, loss = 5.013550124168396, top5_accuracy = 16.25, top1_accuracy = 8.78125
epoch = 101, loss = 5.009758599913947, top5_accuracy = 16.336633663366335, top1_accuracy = 8.818069306930694
epoch = 102, loss = 5.006550844977884, top5_accuracy = 16.574754901960784, top1_accuracy = 8.823529411764707
epoch = 103, loss = 5.002373885182501, top5_accuracy = 16.71723300970874, top1_accuracy = 8.859223300970873
epoch = 104, loss = 5.000215324071737, top5_accuracy = 16.70673076923077, top1_accuracy = 8.864182692307692
epoch = 105, loss = 4.998761594863165, top5_accuracy = 16.726190476190474, top1_accuracy = 8.869047619047619
epoch = 106, loss = 4.996026147086665, top5_accuracy = 16.80424528301887, top1_accuracy = 8.87382075471698
epoch = 107, loss = 4.990232218091733, top5_accuracy = 16.939252336448597, top1_accuracy = 8.907710280373832
epoch = 108, loss = 4.984870857662624, top5_accuracy = 17.07175925925926, top1_accuracy = 8.912037037037036
epoch = 109, loss = 4.98198451033426, top5_accuracy = 17.230504587155963, top1_accuracy = 8.916284403669724
epoch = 110, loss = 4.978784626180476, top5_accuracy = 17.443181818181817, top1_accuracy = 8.920454545454545
epoch = 111, loss = 4.974638079737757, top5_accuracy = 17.51126126126126, top1_accuracy = 8.952702702702704
epoch = 112, loss = 4.971446990966797, top5_accuracy = 17.717633928571427, top1_accuracy = 8.956473214285714
epoch = 113, loss = 4.968144585600997, top5_accuracy = 17.7820796460177, top1_accuracy = 8.960176991150442
epoch = 114, loss = 4.965241595318443, top5_accuracy = 17.845394736842106, top1_accuracy = 8.963815789473685
epoch = 115, loss = 4.960274430979853, top5_accuracy = 17.96195652173913, top1_accuracy = 8.994565217391305
epoch = 116, loss = 4.957143487601445, top5_accuracy = 18.02262931034483, top1_accuracy = 8.997844827586206
epoch = 117, loss = 4.952794266562177, top5_accuracy = 18.215811965811966, top1_accuracy = 9.054487179487179
epoch = 118, loss = 4.950439105599614, top5_accuracy = 18.29978813559322, top1_accuracy = 9.057203389830509
epoch = 119, loss = 4.948597695647168, top5_accuracy = 18.251050420168067, top1_accuracy = 9.059873949579831
epoch = 120, loss = 4.9459308385849, top5_accuracy = 18.307291666666668, top1_accuracy = 9.0625
epoch = 121, loss = 4.943288377493866, top5_accuracy = 18.31095041322314, top1_accuracy = 9.065082644628099
epoch = 122, loss = 4.940759463388412, top5_accuracy = 18.36577868852459, top1_accuracy = 9.093237704918034
epoch = 123, loss = 4.9375334910260955, top5_accuracy = 18.445121951219512, top1_accuracy = 9.095528455284553
epoch = 124, loss = 4.9331026807908085, top5_accuracy = 18.548387096774192, top1_accuracy = 9.122983870967742
epoch = 125, loss = 4.929539836883545, top5_accuracy = 18.625, top1_accuracy = 9.175
epoch = 126, loss = 4.925770668756394, top5_accuracy = 18.675595238095237, top1_accuracy = 9.226190476190476
epoch = 127, loss = 4.920213872053492, top5_accuracy = 18.848425196850393, top1_accuracy = 9.251968503937007
epoch = 128, loss = 4.914769757539034, top5_accuracy = 19.0185546875, top1_accuracy = 9.3017578125
epoch = 129, loss = 4.912563704705054, top5_accuracy = 18.992248062015506, top1_accuracy = 9.30232558139535
epoch = 130, loss = 4.907516387792734, top5_accuracy = 19.20673076923077, top1_accuracy = 9.326923076923077
epoch = 131, loss = 4.905510389167844, top5_accuracy = 19.227099236641223, top1_accuracy = 9.351145038167939
epoch = 132, loss = 4.902503121982921, top5_accuracy = 19.318181818181817, top1_accuracy = 9.375
epoch = 133, loss = 4.898421789470472, top5_accuracy = 19.3843984962406, top1_accuracy = 9.421992481203008
epoch = 134, loss = 4.893563430700729, top5_accuracy = 19.542910447761194, top1_accuracy = 9.444962686567164
epoch = 135, loss = 4.8900178662052864, top5_accuracy = 19.72222222222222, top1_accuracy = 9.444444444444445
epoch = 136, loss = 4.888164649991428, top5_accuracy = 19.738051470588236, top1_accuracy = 9.443933823529411
epoch = 137, loss = 4.885490236491182, top5_accuracy = 19.844890510948904, top1_accuracy = 9.420620437956204
epoch = 138, loss = 4.883910863295846, top5_accuracy = 19.859601449275363, top1_accuracy = 9.420289855072463
epoch = 139, loss = 4.882024675822087, top5_accuracy = 19.964028776978417, top1_accuracy = 9.41996402877698
epoch = 140, loss = 4.877577018737793, top5_accuracy = 20.089285714285715, top1_accuracy = 9.441964285714286
epoch = 141, loss = 4.874202684307774, top5_accuracy = 20.19060283687943, top1_accuracy = 9.441489361702128
epoch = 142, loss = 4.871331738754058, top5_accuracy = 20.268485915492956, top1_accuracy = 9.463028169014084
